1,29.37,30.04
2,32.2,32.25
4,38.74,38.2
8,44.7,44.43
16,46.54,48.15
32,52.91,52.1
64,52.94,52.1
128,54.94,53.07
256,57.42,55.98
512,58.28,58.35
1024,66.18,66.54
2048,71.91,72.06
4096,72.75,73.49
1,29.21,30.02
2,32.5,30.87
4,38.54,38.43
8,43.42,44.18
16,46.16,47.32
32,51.82,51.63
64,51.74,52.91
128,52.43,51.12
256,55.43,55.25
512,57.18,60.15
1024,66.21,67.55
2048,70.75,68.61
4096,74.48,74.36
1,30.68,31.16
2,32.4,30.95
4,39.4,38.32
8,44.33,44.14
16,46.4,48.06
32,51.42,51.64
64,52.13,51.96
128,54.05,50.56
256,52.17,56.99
512,60.06,60.0
1024,62.61,64.14
2048,70.45,70.47
4096,73.21,74.71
1,30.53,31.58
2,32.29,30.38
4,38.83,39.53
8,44.72,44.74
16,46.45,47.91
32,52.75,51.32
64,53.67,51.02
128,54.81,55.09
256,54.88,54.47
512,59.29,61.88
1024,64.55,67.36
2048,70.79,70.51
4096,72.83,74.2
1,29.88,30.88
2,32.4,29.36
4,38.61,38.68
8,43.98,44.7
16,46.47,48.35
32,52.14,53.24
64,52.6,50.25
128,53.76,54.5
256,54.49,55.55
512,58.97,59.45
1024,65.31,68.22
2048,70.87,71.28
4096,74.04,74.77
