1,21.59,21.35
2,24.84,25.65
4,26.4,27.13
8,33.38,33.77
16,33.73,35.24
32,35.91,36.84
64,46.13,45.47
128,48.77,44.22
256,48.64,47.09
512,54.19,50.04
1024,57.18,57.66
2048,62.42,58.97
4096,69.11,65.8
1,21.69,21.18
2,24.94,26.94
4,25.4,26.66
8,33.19,33.94
16,33.7,34.51
32,37.82,38.4
64,45.95,43.92
128,48.4,47.1
256,49.53,50.11
512,51.37,53.72
1024,57.04,56.27
2048,64.46,59.11
4096,68.5,66.65
1,21.83,21.75
2,25.13,25.56
4,25.03,27.57
8,33.74,33.99
16,33.82,34.67
32,37.99,36.5
64,46.23,45.11
128,45.93,44.49
256,49.2,47.91
512,52.51,50.15
1024,57.2,57.97
2048,62.28,61.46
4096,66.43,67.84
1,21.83,21.75
2,25.05,26.75
4,24.84,28.05
8,32.92,34.08
16,33.58,32.88
32,37.31,37.59
64,45.37,45.41
128,49.29,47.24
256,49.22,45.72
512,51.77,49.3
1024,59.19,58.52
2048,61.73,62.54
4096,67.46,64.76
1,21.16,21.06
2,25.06,26.7
4,25.48,26.24
8,33.06,34.16
16,32.86,34.75
32,36.34,36.21
64,45.02,44.98
128,48.09,46.47
256,48.27,48.45
512,52.05,50.49
1024,57.05,55.92
2048,64.08,58.56
4096,67.56,68.57
