1,29.37,29.62
2,32.2,33.3
4,38.88,37.08
8,45.19,41.0
16,45.63,46.7
32,51.88,49.89
64,52.12,52.52
128,54.52,52.17
256,55.55,51.23
512,60.27,61.77
1024,64.28,64.01
2048,71.06,69.31
4096,73.63,73.52
1,30.44,30.58
2,32.41,31.86
4,38.73,39.84
8,44.07,41.2
16,45.87,47.21
32,52.64,51.75
64,53.78,50.43
128,52.44,54.24
256,55.53,54.35
512,58.48,60.16
1024,64.89,63.15
2048,70.42,69.7
4096,73.5,74.62
1,30.87,30.36
2,32.41,30.6
4,38.49,37.62
8,44.47,42.29
16,45.69,46.67
32,52.13,52.03
64,52.86,51.29
128,52.97,52.34
256,54.62,52.85
512,60.72,61.02
1024,63.67,65.19
2048,70.03,69.39
4096,74.17,74.21
1,30.17,30.33
2,32.13,32.44
4,37.19,37.06
8,43.79,42.26
16,46.21,48.38
32,51.41,51.1
64,52.23,52.58
128,52.56,52.42
256,53.9,55.72
512,58.09,58.29
1024,65.8,63.6
2048,69.66,70.16
4096,73.56,74.63
1,29.67,29.81
2,32.24,32.54
4,39.39,38.82
8,44.85,41.87
16,45.98,47.45
32,51.36,51.65
64,52.84,53.26
128,53.93,52.58
256,56.41,53.75
512,61.36,60.35
1024,63.95,62.42
2048,69.75,68.84
4096,74.17,73.45
