1,29.37,30.98
2,32.42,34.99
4,39.52,38.99
8,44.54,44.81
16,46.27,48.16
32,52.18,52.85
64,53.62,51.88
128,53.83,53.47
256,54.39,53.48
512,60.33,61.25
1024,66.34,67.17
2048,71.25,70.4
4096,74.24,75.13
1,29.95,30.89
2,32.36,36.26
4,40.53,37.92
8,45.19,45.1
16,46.3,48.15
32,52.69,52.26
64,52.5,51.1
128,53.06,54.02
256,57.15,53.76
512,59.56,59.61
1024,64.5,67.46
2048,72.07,71.67
4096,73.99,74.88
1,30.07,31.09
2,32.45,33.42
4,39.66,38.01
8,44.79,45.15
16,46.24,48.07
32,51.37,51.25
64,52.83,52.91
128,52.99,52.64
256,51.95,52.92
512,56.41,59.98
1024,63.03,66.96
2048,71.65,70.39
4096,74.21,74.09
1,30.32,31.49
2,32.46,33.91
4,38.88,39.21
8,44.08,44.83
16,46.14,47.74
32,52.39,50.85
64,53.05,52.24
128,55.15,53.51
256,56.38,54.18
512,59.34,59.89
1024,64.68,66.86
2048,69.55,69.77
4096,73.52,71.81
1,30.21,31.25
2,32.46,33.51
4,38.17,39.29
8,43.91,44.5
16,46.2,47.95
32,52.9,52.72
64,52.93,53.92
128,52.27,53.65
256,54.91,53.55
512,60.49,61.53
1024,63.42,65.28
2048,71.3,71.01
4096,74.14,73.95
