1,21.59,23.06
2,24.98,26.81
4,24.43,27.34
8,33.33,33.64
16,33.2,34.27
32,38.05,38.22
64,46.04,45.52
128,46.29,48.67
256,47.13,47.36
512,53.7,52.27
1024,56.64,57.46
2048,63.6,60.69
4096,65.78,67.6
1,21.84,23.04
2,24.95,25.61
4,24.21,26.32
8,32.31,33.82
16,33.16,34.06
32,36.68,37.21
64,45.97,45.16
128,49.11,46.69
256,47.92,45.08
512,52.75,53.87
1024,57.95,57.71
2048,61.23,57.45
4096,67.02,65.47
1,21.47,23.13
2,24.86,26.09
4,25.36,27.17
8,32.59,33.55
16,33.64,34.28
32,37.34,38.46
64,46.21,46.24
128,48.42,48.68
256,49.59,47.87
512,52.09,54.34
1024,55.28,56.86
2048,61.76,58.55
4096,65.04,66.87
1,21.63,23.14
2,25.07,25.76
4,23.66,26.44
8,33.44,33.56
16,32.9,35.17
32,37.44,38.38
64,45.09,45.77
128,47.91,48.83
256,48.61,48.45
512,52.44,54.26
1024,59.13,57.93
2048,64.66,58.93
4096,68.84,67.71
1,22.12,23.25
2,24.69,26.62
4,24.66,27.0
8,32.99,33.65
16,33.49,34.07
32,36.51,37.95
64,45.61,45.97
128,48.21,47.53
256,48.92,48.94
512,50.64,55.56
1024,57.8,58.35
2048,63.66,58.49
4096,65.6,64.73
