1,29.37,29.94
2,32.2,32.11
4,37.45,38.86
8,44.68,44.96
16,45.98,47.39
32,52.32,51.27
64,51.51,51.64
128,53.23,52.79
256,53.4,54.7
512,60.37,60.29
1024,64.22,64.82
2048,70.85,70.36
4096,74.47,74.15
1,28.95,29.53
2,32.48,30.3
4,37.81,39.59
8,44.97,44.24
16,46.27,47.0
32,51.58,51.67
64,52.35,52.64
128,53.12,52.71
256,55.5,54.76
512,59.26,61.13
1024,63.01,66.16
2048,69.8,69.37
4096,74.22,73.6
1,30.03,30.82
2,32.37,33.25
4,40.06,38.36
8,43.68,44.51
16,45.98,48.3
32,52.27,51.29
64,52.66,53.37
128,54.04,52.63
256,55.84,54.51
512,60.64,60.24
1024,63.3,65.18
2048,69.58,70.46
4096,74.32,73.81
1,30.37,30.99
2,32.51,33.36
4,38.21,39.78
8,43.77,44.15
16,46.57,47.85
32,52.76,51.26
64,51.38,51.95
128,53.44,54.28
256,54.93,56.48
512,59.22,59.11
1024,65.27,66.41
2048,69.87,70.06
4096,74.62,74.16
1,30.11,30.83
2,32.11,31.47
4,40.63,37.96
8,43.89,43.58
16,46.17,48.3
32,51.92,50.96
64,51.65,53.86
128,53.18,52.12
256,53.81,55.08
512,59.44,57.01
1024,65.63,64.52
2048,69.63,70.59
4096,73.26,74.77
