1,21.59,21.99
2,24.79,26.3
4,25.65,26.64
8,33.19,33.55
16,33.59,36.22
32,37.04,36.09
64,46.32,46.86
128,48.56,47.96
256,48.0,48.0
512,53.67,53.96
1024,59.84,57.73
2048,62.94,61.92
4096,66.49,66.49
1,21.55,22.22
2,25.02,26.26
4,24.41,26.72
8,33.24,33.65
16,33.01,36.42
32,37.28,37.54
64,45.0,45.28
128,49.08,48.43
256,48.96,46.8
512,52.32,52.04
1024,57.91,54.49
2048,61.98,61.29
4096,67.91,64.74
1,21.93,22.08
2,24.9,25.27
4,25.76,26.57
8,33.28,33.47
16,33.34,36.4
32,36.54,37.01
64,45.09,47.1
128,47.91,49.1
256,50.79,46.11
512,55.0,53.13
1024,57.38,56.75
2048,61.79,61.2
4096,67.64,68.66
1,21.58,21.72
2,24.81,26.08
4,24.07,26.7
8,32.86,32.48
16,33.44,35.47
32,37.77,38.91
64,44.8,46.87
128,49.15,48.46
256,50.36,49.17
512,51.41,52.82
1024,56.12,56.98
2048,63.35,60.29
4096,66.18,66.87
1,21.44,21.75
2,24.84,25.71
4,24.84,27.15
8,33.41,32.93
16,32.72,35.12
32,37.86,37.17
64,45.93,47.02
128,48.46,47.31
256,48.83,47.53
512,50.46,52.08
1024,56.7,58.37
2048,64.97,60.82
4096,65.46,66.83
