1,26.5,26.5
2,30.65,34.24
4,27.93,34.19
8,38.28,37.14
16,38.56,38.91
32,45.37,47.15
64,51.46,52.55
128,53.87,54.94
256,53.39,57.8
512,57.61,60.13
1024,62.48,64.15
2048,62.24,70.18
4096,67.85,72.74
1,20.93,20.93
2,29.41,42.11
4,36.94,36.29
8,34.09,42.2
16,43.49,45.5
32,50.97,52.04
64,48.98,54.91
128,49.25,50.89
256,48.66,45.55
512,57.1,58.72
1024,62.87,66.57
2048,61.52,68.04
4096,70.42,71.61
1,24.3,24.3
2,32.37,30.09
4,30.6,33.84
8,32.6,36.62
16,41.17,44.67
32,46.39,47.81
64,50.63,51.83
128,50.2,51.58
256,53.32,58.53
512,57.83,60.43
1024,65.44,66.24
2048,67.06,67.26
4096,69.09,75.07
1,17.7,17.7
2,26.92,29.15
4,31.31,32.36
8,40.36,42.97
16,39.49,36.28
32,43.8,48.85
64,45.87,51.32
128,45.79,47.86
256,58.7,55.61
512,56.97,61.96
1024,56.83,67.5
2048,67.58,69.03
4096,67.23,72.77
1,33.63,33.63
2,28.55,28.27
4,30.44,32.21
8,42.22,46.02
16,47.7,51.37
32,41.39,47.96
64,47.76,52.62
128,53.92,52.76
256,57.43,57.05
512,51.52,58.85
1024,58.35,65.31
2048,64.38,68.15
4096,70.33,74.99
