1,11.19,11.19
2,20.58,22.47
4,24.1,24.75
8,18.92,22.77
16,24.8,25.6
32,25.31,26.54
64,23.76,26.45
128,34.97,40.43
256,34.71,40.15
512,34.58,39.1
1024,40.36,40.02
2048,49.08,48.95
4096,52.47,59.92
1,15.67,15.67
2,14.98,16.35
4,18.47,16.82
8,17.29,20.78
16,20.3,26.6
32,28.02,31.02
64,29.1,30.77
128,30.6,35.92
256,33.58,39.77
512,42.0,38.97
1024,42.54,47.64
2048,45.32,55.11
4096,45.37,62.26
1,15.57,15.57
2,15.72,17.38
4,17.82,21.12
8,23.96,23.26
16,23.71,27.51
32,25.44,23.35
64,29.47,35.47
128,33.64,34.11
256,34.65,38.11
512,32.63,43.62
1024,39.96,42.89
2048,44.54,51.85
4096,49.98,57.0
1,15.47,15.47
2,12.9,17.88
4,15.11,15.86
8,17.2,18.43
16,24.96,26.58
32,24.57,27.58
64,28.19,33.29
128,33.98,40.23
256,33.32,41.25
512,38.5,43.02
1024,45.79,52.13
2048,41.23,55.5
4096,51.95,62.87
1,12.98,12.98
2,12.36,14.42
4,15.37,19.44
8,16.84,15.01
16,24.97,28.62
32,28.8,31.95
64,28.34,31.28
128,29.68,35.37
256,35.1,37.38
512,40.99,40.42
1024,47.84,49.54
2048,41.43,55.1
4096,58.83,59.55
