1,20.83,20.83
2,23.7,19.23
4,24.23,30.59
8,20.94,31.15
16,32.86,41.14
32,33.71,40.95
64,43.67,44.48
128,38.82,41.09
256,47.31,40.9
512,40.93,46.43
1024,53.52,58.14
2048,54.08,57.92
4096,59.33,65.82
1,20.36,20.36
2,22.39,25.93
4,17.05,28.53
8,27.9,36.02
16,25.65,34.96
32,34.49,39.03
64,42.4,42.4
128,39.03,45.51
256,39.04,44.74
512,52.1,54.85
1024,58.22,57.02
2048,61.23,64.94
4096,66.8,64.09
1,22.98,22.98
2,34.5,30.6
4,21.37,22.76
8,26.5,35.86
16,35.48,41.77
32,32.1,44.45
64,43.07,39.55
128,37.38,45.8
256,39.43,43.12
512,51.89,42.68
1024,41.34,50.81
2048,49.69,53.52
4096,64.42,69.1
1,19.99,19.99
2,20.39,23.13
4,27.53,22.16
8,25.92,34.64
16,23.45,27.04
32,33.97,34.12
64,34.32,43.94
128,37.9,28.89
256,43.77,51.93
512,42.07,47.43
1024,49.7,57.5
2048,54.23,62.92
4096,60.55,67.98
1,24.05,24.05
2,21.82,24.05
4,26.4,31.13
8,34.4,36.76
16,31.37,43.06
32,30.98,41.91
64,42.22,41.07
128,43.02,46.83
256,41.02,47.1
512,36.01,53.41
1024,50.72,47.47
2048,53.87,63.66
4096,61.45,63.49
