data_len,k,acc
32768,1,85.21
32768,2,86.53
32768,3,86.87
32768,4,86.98
32768,5,86.96
32768,6,87.07
32768,7,87.05
32768,8,87.01
32768,9,87.12
16384,1,8432
16384,2,8566
16384,3,8595
16384,4,8623
16384,5,8631
16384,6,8627
16384,7,8634
16384,8,8636
16384,9,8639
8192,1,8254
8192,2,8411
8192,3,8464
8192,4,8482
8192,5,8488
8192,6,8494
8192,7,8495
8192,8,8501
8192,9,8493
4096,1,8158
4096,2,8309
4096,3,8326
4096,4,8361
4096,5,8357
4096,6,8361
4096,7,8357
4096,8,8357
4096,9,8355
2048,1,7822
2048,2,7985
2048,3,8038
2048,4,8068
2048,5,8074
2048,6,8088
2048,7,8086
2048,8,8098
2048,9,8090
1024,1,7566
1024,2,7738
1024,3,7797
1024,4,7817
1024,5,7817
1024,6,7819
1024,7,7818
1024,8,7815
1024,9,7816
512,1,7588
512,2,7707
512,3,7750
512,4,7768
512,5,7768
512,6,7778
512,7,7775
512,8,7768
512,9,7764
256,1,7167
256,2,7354
256,3,7351
256,4,7349
256,5,7342
256,6,7342
256,7,7325
256,8,7331
256,9,7314
128,1,6068
128,2,6161
128,3,6382
128,4,6354
128,5,6417
128,6,6418
128,7,6396
128,8,6384
128,9,6345
60,1,5609
60,2,5784
60,3,5850
60,4,5737
60,5,5780
60,6,5502
60,7,5158
60,8,5161
60,9,5060
30,1,4937
30,2,3632
30,3,3008
30,4,2912
30,5,2448
30,6,1991
30,7,1406
30,8,1186
30,9,1098
