data_len,k,acc
32768,2,8597
32768,3,8660
32768,4,8666
32768,5,8677
32768,6,8689
32768,7,8698
16384,2,8563
16384,3,8615
16384,4,8620
16384,5,8635
16384,6,8639
16384,7,8639
8192,2,8460
8192,3,8497
8192,4,8509
8192,5,8516
8192,6,8521
8192,7,8521
4096,2,8253
4096,3,8289
4096,4,8321
4096,5,8311
4096,6,8321
4096,7,8314
2048,2,8095
2048,3,8137
2048,4,8177
2048,5,8174
2048,6,8187
2048,7,8194
1024,2,7860
1024,3,7873
1024,4,7903
1024,5,7905
1024,6,7914
1024,7,7898
512,2,7651
512,3,7722
512,4,7733
512,5,7747
512,6,7752
512,7,7737
256,2,7294
256,3,7366
256,4,7366
256,5,7374
256,6,7360
256,7,7365
128,2,6392
128,3,6433
128,4,6455
128,5,6478
128,6,6471
128,7,6472
60,2,5745
60,3,5897
60,4,5934
60,5,5913
60,6,5908
60,7,5862
30,2,4995
30,3,4997
30,4,4996
30,5,4996
30,6,4996
30,7,4990
