data_len,k,acc
32768,1,83.88
32768,2,85.61
32768,3,86.12
32768,4,86.25
32768,5,86.67
32768,6,86.64
32768,7,86.77
32768,8,86.82
32768,9,86.89
16384,1,82.69
16384,2,84.51
16384,3,85.14
16384,4,85.50
16384,5,85.59
16384,6,85.74
16384,7,85.80
16384,8,85.80
16384,9,85.83
8192,1,8209
8192,2,8362
8192,3,8421
8192,4,8430
8192,5,8454
8192,6,8457
8192,7,4659
8192,8,8471
8192,9,8466
4096,1,7797
4096,2,8088
4096,3,8162
4096,4,8224
4096,5,8245
4096,6,8254
4096,7,8260
4096,8,8277
4096,9,8289
2048,1,7671
2048,2,7888
2048,3,7999
2048,4,8052
2048,5,8080
2048,6,8085
2048,7,8098
2048,8,8102
2048,9,8101
1024,1,7481
1024,2,7660
1024,3,7704
1024,4,7741
1024,5,7752
1024,6,7768
1024,7,7767
1024,8,7763
1024,9,7762
512,1,7326
512,2,7576
512,3,7679
512,4,7705
512,5,7727
512,6,7730
512,7,7739
512,8,7723
512,9,7740
256,1,7001
256,2,7219
256,3,7343
256,4,7387
256,5,7437
256,6,7447
256,7,7459
256,8,7456
256,9,7465
128,1,6682
128,2,6847
128,3,6907
128,4,7032
128,5,7016
128,6,7061
128,7,7014
128,8,7040
128,9,7005
60,1,5707
60,2,5825
60,3,5904
60,4,5822
60,5,5861
60,6,5673
60,7,5386
60,8,5390
60,9,5276
30,1,4248
30,2,3073
30,3,2584
30,4,2045
30,5,2105
30,6,2352
30,7,1796
30,8,1074
30,9,1038
