data_len,k,acc
32768,1,8377
32768,2,8377
32768,3,8550
32768,4,8582
32768,5,8615
32768,6,8641
32768,7,8638
16384,1,8303
16384,2,8303
16384,3,8483
16384,4,8520
16384,5,8551
16384,6,8565
16384,7,8575
8192,1,8146
8192,2,8146
8192,3,8348
8192,4,8390
8192,5,8421
8192,6,8435
8192,7,8453
4096,1,7823
4096,2,7823
4096,3,8124
4096,4,8194
4096,5,8235
4096,6,8264
4096,7,8284
2048,1,7765
2048,2,7765
2048,3,7992
2048,4,8043
2048,5,8087
2048,6,8098
2048,7,8108
1024,1,7392
1024,2,7392
1024,3,7687
1024,4,7781
1024,5,7818
1024,6,7832
1024,7,7832
512,1,7203
512,2,7203
512,3,7506
512,4,7575
512,5,7652
512,6,7651
512,7,7674
256,1,6953
256,2,6953
256,3,7222
256,4,7334
256,5,7360
256,6,7401
256,7,7395
128,1,6511
128,2,6511
128,3,6713
128,4,6819
128,5,6814
128,6,6851
128,7,6830
60,1,4909
60,2,4909
60,3,5231
60,4,5360
60,5,5412
60,6,5428
60,7,5322
30,1,4783
30,2,4783
30,3,4783
30,4,4783
30,5,4783
30,6,4783
30,7,4783
