data_len,k,acc
32768,2,8511
32768,3,8579
32768,4,8609
32768,5,8614
32768,6,8628
32768,7,8640
16384,2,8428
16384,3,8518
16384,4,8556
16384,5,8577
16384,6,8577
16384,7,8589
8192,2,8350
8192,3,8423
8192,4,8450
8192,5,8459
8192,6,8474
8192,7,8468
4096,2,8098
4096,3,8244
4096,4,8294
4096,5,8321
4096,6,8336
4096,7,8345
2048,2,7919
2048,3,8033
2048,4,8079
2048,5,8101
2048,6,8116
2048,7,8129
1024,2,7501
1024,3,7703
1024,4,7748
1024,5,7790
1024,6,7792
1024,7,7802
512,2,7499
512,3,7667
512,4,7685
512,5,7703
512,6,7718
512,7,7734
256,2,7221
256,3,7438
256,4,7458
256,5,7493
256,6,7488
256,7,7510
128,2,5898
128,3,6162
128,4,6189
128,5,6218
128,6,6192
128,7,6239
60,2,5462
60,3,5655
60,4,5664
60,5,5637
60,6,5118
60,7,4688
30,2,2259
30,3,1448
30,4,0719
30,5,0518
30,6,0349
30,7,0237
