LR constant 1e-03
For 1 examples, accuracy went from 14.72 to 14.89                                                                                                                                                 
For 2 examples, accuracy went from 16.45 to 17.13                                                                                                                                                 
For 4 examples, accuracy went from 19.29 to 20.64                                                                                                                                                 
For 8 examples, accuracy went from 24.68 to 26.61                                                                                                                                                 
For 16 examples, accuracy went from 25.85 to 25.07                                                                                                                                                
For 32 examples, accuracy went from 33.09 to 34.02                                                                                                                                                
For 64 examples, accuracy went from 34.31 to 34.25                                                                                                                                                
For 128 examples, accuracy went from 35.21 to 35.07                                                                                                                                               
For 256 examples, accuracy went from 37.27 to 36.8                                                                                                                                                
For 512 examples, accuracy went from 42.2 to 42.76                                                                                                                                                
For 1024 examples, accuracy went from 50.94 to 44.97                                                                                                                                              
For 2048 examples, accuracy went from 50.42 to 54.46                                                                                                                                              
For 4096 examples, accuracy went from 57.91 to 61.02

For 1 examples, accuracy went from 16.08 to 15.59                                                                                                                                                 
For 2 examples, accuracy went from 15.42 to 14.69                                                                                                                                                 
For 4 examples, accuracy went from 21.38 to 21.4                                                                                                                                                  
For 8 examples, accuracy went from 22.3 to 24.88                                                                                                                                                  
For 16 examples, accuracy went from 25.8 to 25.81                                                                                                                                                 
For 32 examples, accuracy went from 25.74 to 26.49                                                                                                                                                
For 64 examples, accuracy went from 33.43 to 32.95                                                                                                                                                
For 128 examples, accuracy went from 32.82 to 31.2                                                                                                                                                
For 256 examples, accuracy went from 41.14 to 37.92                                                                                                                                               
For 512 examples, accuracy went from 42.44 to 42.1                                                                                                                                                
For 1024 examples, accuracy went from 48.11 to 49.62                                                                                                                                              
For 2048 examples, accuracy went from 56.0 to 53.29                                                                                                                                               
For 4096 examples, accuracy went from 60.39 to 60.07

For 1 examples, accuracy went from 17.74 to 20.62                                                                                                                                                 
For 2 examples, accuracy went from 17.75 to 17.99                                                                                                                                                 
For 4 examples, accuracy went from 14.59 to 15.57                                                                                                                                                 
For 8 examples, accuracy went from 18.61 to 21.15                                                                                                                                                 
For 16 examples, accuracy went from 20.34 to 20.01                                                                                                                                                
For 32 examples, accuracy went from 26.03 to 25.16                                                                                                                                                
For 64 examples, accuracy went from 32.42 to 32.24                                                                                                                                                
For 128 examples, accuracy went from 37.48 to 38.49                                                                                                                                               
For 256 examples, accuracy went from 42.8 to 42.97                                                                                                                                                
For 512 examples, accuracy went from 42.13 to 40.97                                                                                                                                               
For 1024 examples, accuracy went from 49.45 to 49.06                                                                                                                                              
For 2048 examples, accuracy went from 58.13 to 55.79                                                                                                                                              
For 4096 examples, accuracy went from 61.26 to 63.04   


LR initial 1e-03 apoi la jumatate
For 1 examples, accuracy went from 14.72 to 14.68                                                                                                                                                 
For 2 examples, accuracy went from 16.45 to 17.55                                                                                                                                                 
For 4 examples, accuracy went from 19.29 to 19.03                                                                                                                                                 
For 8 examples, accuracy went from 24.45 to 26.51                                                                                                                                                 
For 16 examples, accuracy went from 23.87 to 24.6                                                                                                                                                 
For 32 examples, accuracy went from 34.75 to 33.03                                                                                                                                                
For 64 examples, accuracy went from 31.89 to 34.68                                                                                                                                                
For 128 examples, accuracy went from 36.28 to 35.96                                                                                                                                               
For 256 examples, accuracy went from 35.29 to 39.63                                                                                                                                               
For 512 examples, accuracy went from 41.06 to 41.61                                                                                                                                               
For 1024 examples, accuracy went from 50.51 to 49.92                                                                                                                                              
For 2048 examples, accuracy went from 52.44 to 56.19                                                                                                                                              
For 4096 examples, accuracy went from 61.68 to 61.9

For 1 examples, accuracy went from 16.08 to 15.52                                                                                                                                                 
For 2 examples, accuracy went from 15.42 to 14.69                                                                                                                                                 
For 4 examples, accuracy went from 22.41 to 22.38                                                                                                                                                 
For 8 examples, accuracy went from 22.3 to 23.36                                                                                                                                                  
For 16 examples, accuracy went from 24.93 to 23.56                                                                                                                                                
For 32 examples, accuracy went from 25.74 to 27.66                                                                                                                                                
For 64 examples, accuracy went from 34.12 to 36.68                                                                                                                                                
For 128 examples, accuracy went from 33.29 to 34.33                                                                                                                                               
For 256 examples, accuracy went from 40.56 to 39.33                                                                                                                                               
For 512 examples, accuracy went from 43.81 to 43.85                                                                                                                                               
For 1024 examples, accuracy went from 46.92 to 47.86                                                                                                                                              
For 2048 examples, accuracy went from 52.09 to 52.82                                                                                                                                              
For 4096 examples, accuracy went from 63.98 to 61.37 

For 1 examples, accuracy went from 17.74 to 17.53                                                                                                                                                 
For 2 examples, accuracy went from 19.22 to 19.27                                                                                                                                                 
For 4 examples, accuracy went from 16.25 to 15.64                                                                                                                                                 
For 8 examples, accuracy went from 21.59 to 20.84                                                                                                                                                 
For 16 examples, accuracy went from 19.87 to 19.4                                                                                                                                                 
For 32 examples, accuracy went from 26.71 to 26.93                                                                                                                                                
For 64 examples, accuracy went from 33.01 to 34.45                                                                                                                                                
For 128 examples, accuracy went from 36.72 to 40.37                                                                                                                                               
For 256 examples, accuracy went from 44.62 to 44.45                                                                                                                                               
For 512 examples, accuracy went from 48.07 to 47.75                                                                                                                                               
For 1024 examples, accuracy went from 52.05 to 50.21                                                                                                                                              
For 2048 examples, accuracy went from 50.57 to 55.43                                                                                                                                              
For 4096 examples, accuracy went from 61.14 to 63.76    
