sigma,500
1,24.34,24.34                                                                                                                                                 
2,27.84,33.51                                                                                                                                                 
4,22.28,26.94                                                                                                                                                 
8,23.04,27.7                                                                                                                                                  
16,29.79,31.74                                                                                                                                                
32,35.83,35.53                                                                                                                                                
64,38.96,44.3                                                                                                                                                 
128,38.86,43.27                                                                                                                                               
256,49.15,50.01                                                                                                                                               
512,43.78,49.23                                                                                                                                               
1024,53.01,56.07                                                                                                                                              
2048,55.24,61.95                                                                                                                                              
4096,59.38,63.82    

sigma,600
1,19.44,19.44                                                                                                                                                 
2,17.05,18.19                                                                                                                                                 
4,29.61,27.3                                                                                                                                                  
8,27.71,28.96                                                                                                                                                 
16,32.15,33.66                                                                                                                                                
32,35.54,35.81                                                                                                                                                
64,40.93,42.57                                                                                                                                                
128,39.18,43.79                                                                                                                                               
256,38.23,49.38                                                                                                                                               
512,45.48,51.22                                                                                                                                               
1024,49.68,56.3                                                                                                                                               
2048,53.74,59.98                                                                                                                                              
4096,61.3,71.0                                                                                                                                                 

sigma,615
1,24.0,24.0                                                                                                                                                   
2,20.43,26.45                                                                                                                                                 
4,25.74,27.05                                                                                                                                                 
8,29.2,32.5                                                                                                                                                   
16,30.07,33.11                                                                                                                                                
32,33.29,36.65                                                                                                                                                
64,33.38,42.67                                                                                                                                                
128,42.38,50.46                                                                                                                                               
256,45.23,43.64                                                                                                                                               
512,52.82,57.2                                                                                                                                                
1024,52.85,58.0                                                                                                                                               
2048,58.09,59.26                                                                                                                                              
4096,62.32,66.22  

sigma,615
1,20.35,20.35                                                                                                                                                 
2,22.79,23.73                                                                                                                                                 
4,25.44,23.46                                                                                                                                                 
8,29.73,31.89                                                                                                                                                 
16,30.1,34.73                                                                                                                                                 
32,32.32,37.55                                                                                                                                                
64,31.37,36.36                                                                                                                                                
128,41.74,43.72                                                                                                                                               
256,43.82,47.54                                                                                                                                               
512,46.16,52.73                                                                                                                                               
1024,53.43,52.26                                                                                                                                              
2048,56.73,61.75                                                                                                                                              
4096,61.68,65.54 

sigma,625
1,22.22,22.22                                                                                                                                                 
2,21.5,25.21                                                                                                                                                  
4,23.31,21.29                                                                                                                                                 
8,23.81,27.81                                                                                                                                                 
16,32.11,37.24                                                                                                                                                
32,38.8,39.01                                                                                                                                                 
64,35.86,40.94                                                                                                                                                
128,38.58,42.55                                                                                                                                               
256,45.59,47.85                                                                                                                                               
512,45.09,52.55                                                                                                                                               
1024,51.57,56.51                                                                                                                                              
2048,58.04,59.49                                                                                                                                              
4096,63.05,62.43       

sigma,625
1,23.4,23.4                                                                                                                                                   
2,20.72,21.63                                                                                                                                                 
4,24.28,23.24                                                                                                                                                 
8,23.19,32.22                                                                                                                                                 
16,27.83,33.05                                                                                                                                                
32,38.36,42.1                                                                                                                                                 
64,38.82,41.48                                                                                                                                                
128,41.64,43.72                                                                                                                                               
256,37.58,45.46                                                                                                                                               
512,51.87,52.38                                                                                                                                               
1024,52.53,55.52                                                                                                                                              
2048,55.2,61.37                                                                                                                                               
4096,62.56,66.36  

sigma,650
1,23.78,23.78                                                                                                                                                 
2,25.1,24.62                                                                                                                                                  
4,18.0,23.98                                                                                                                                                  
8,29.05,28.14                                                                                                                                                 
16,27.88,35.6                                                                                                                                                 
32,36.38,42.02                                                                                                                                                
64,37.71,41.68                                                                                                                                                
128,39.21,40.85                                                                                                                                               
256,40.86,47.21                                                                                                                                               
512,45.27,48.16                                                                                                                                               
1024,53.49,53.91                                                                                                                                              
2048,50.75,61.55                                                                                                                                              
4096,60.69,66.72                                                                                                                                                                                                                                                                                                                                                                                                                                      
                                                                                                                                            
sigma,650
1,22.92,22.92                                                                                                                                                 
2,23.91,28.68                                                                                                                                                 
4,27.26,29.32                                                                                                                                                 
8,27.81,31.52                                                                                                                                                 
16,30.62,33.2                                                                                                                                                 
32,30.82,32.47                                                                                                                                                
64,33.8,37.31                                                                                                                                                 
128,38.65,38.76                                                                                                                                               
256,45.88,50.06                                                                                                                                               
512,45.87,54.95                                                                                                                                               
1024,49.48,57.59                                                                                                                                              
2048,53.07,57.07                                                                                                                                              
4096,62.6,66.63     

sigma,675
1,18.81,18.81                                                                                                                                                 
2,22.89,27.94                                                                                                                                                 
4,22.75,26.17                                                                                                                                                 
8,22.01,27.42                                                                                                                                                 
16,32.91,33.92                                                                                                                                                
32,33.82,33.55                                                                                                                                                
64,37.66,38.71                                                                                                                                                
128,40.01,42.37                                                                                                                                               
256,44.98,48.59                                                                                                                                               
512,51.31,50.84                                                                                                                                               
1024,55.45,57.13                                                                                                                                              
2048,57.9,57.13                                                                                                                                               
4096,59.09,66.59

sigma,675
1,23.76,23.76                                                                                                                                                 
2,22.1,21.64                                                                                                                                                  
4,23.09,23.58                                                                                                                                                 
8,20.4,27.8                                                                                                                                                   
16,33.72,35.36                                                                                                                                                
32,32.57,37.59                                                                                                                                                
64,37.82,38.98                                                                                                                                                
128,43.11,45.11                                                                                                                                               
256,44.14,47.09                                                                                                                                               
512,47.08,50.72                                                                                                                                               
1024,51.23,54.11                                                                                                                                              
2048,53.44,60.78                                                                                                                                              
4096,62.11,65.27  

sigma,700
1,26.13,26.13                                                                                                                                                 
2,21.52,24.0                                                                                                                                                  
4,23.43,23.5                                                                                                                                                  
8,22.31,30.86                                                                                                                                                 
16,32.66,32.4                                                                                                                                                 
32,28.83,37.47                                                                                                                                                
64,38.96,40.15                                                                                                                                                
128,42.51,46.68                                                                                                                                               
256,39.58,44.84                                                                                                                                               
512,44.42,50.02                                                                                                                                               
1024,49.57,57.9                                                                                                                                               
2048,57.57,63.06                                                                                                                                              
4096,63.0,64.0     

sigma,725
1,22.57,22.57                                                                                                                                                 
2,23.07,23.79                                                                                                                                                 
4,19.51,20.32                                                                                                                                                 
8,26.59,30.98                                                                                                                                                 
16,34.64,36.16                                                                                                                                                
32,36.19,42.4                                                                                                                                                 
64,37.89,34.88                                                                                                                                                
128,42.06,44.55                                                                                                                                               
256,40.84,48.04                                                                                                                                               
512,51.5,54.18                                                                                                                                                
1024,52.99,54.74                                                                                                                                              
2048,54.04,57.06                                                                                                                                              
4096,61.96,65.62   

sigma,750
1,22.45,22.45                                                                                                                                                 
2,19.27,25.87                                                                                                                                                 
4,19.31,20.86                                                                                                                                                 
8,26.57,29.89                                                                                                                                                 
16,32.82,34.8                                                                                                                                                 
32,36.87,40.9                                                                                                                                                 
64,42.37,44.64                                                                                                                                                
128,44.93,45.96                                                                                                                                               
256,42.7,38.37                                                                                                                                                
512,47.54,53.57                                                                                                                                               
1024,51.28,55.96                                                                                                                                              
2048,57.0,60.04                                                                                                                                               
4096,57.97,65.22   

sigma,775
1,16.67,16.67                                                                                                                                                 
2,15.48,28.34                                                                                                                                                 
4,21.45,28.55                                                                                                                                                 
8,29.33,28.19                                                                                                                                                 
16,33.16,32.45                                                                                                                                                
32,35.45,39.18                                                                                                                                                
64,36.53,40.3                                                                                                                                                 
128,45.73,48.7                                                                                                                                                
256,43.37,45.31                                                                                                                                               
512,49.34,53.56                                                                                                                                               
1024,53.79,58.39                                                                                                                                              
2048,60.0,59.74                                                                                                                                               
4096,60.65,64.21   

sigma,800
1,23.95,23.95                                                                                                                                                 
2,23.27,21.28                                                                                                                                                 
4,28.93,27.67                                                                                                                                                 
8,19.7,20.87                                                                                                                                                  
16,31.63,34.06                                                                                                                                                
32,32.8,38.17                                                                                                                                                 
64,34.35,39.7                                                                                                                                                 
128,42.05,46.0                                                                                                                                                
256,43.25,45.12                                                                                                                                               
512,45.92,52.08                                                                                                                                               
1024,54.67,54.93                                                                                                                                              
2048,54.02,62.04                                                                                                                                              
4096,62.72,65.59 

sigma,500
1,19.18,19.18                                                                                                                                                 
2,25.16,24.89                                                                                                                                                 
4,22.88,19.27                                                                                                                                                 
8,26.66,31.04                                                                                                                                                 
16,29.29,33.6                                                                                                                                                 
32,36.64,37.83                                                                                                                                                
64,38.56,42.69                                                                                                                                                
128,40.01,44.57                                                                                                                                               
256,42.85,48.67                                                                                                                                               
512,49.14,55.97                                                                                                                                               
1024,51.4,53.92                                                                                                                                               
2048,55.28,59.93                                                                                                                                              
4096,62.71,65.88     
                                                                                                                                         
sigma,600
1,18.74,18.74                                                                                                                                                 
2,25.89,24.83                                                                                                                                                 
4,23.09,30.52                                                                                                                                                 
8,24.65,28.54                                                                                                                                                 
16,35.22,39.01                                                                                                                                                
32,36.27,39.52                                                                                                                                                
64,38.88,39.13                                                                                                                                                
128,42.58,46.67                                                                                                                                               
256,44.92,46.41                                                                                                                                               
512,49.99,52.02                                                                                                                                               
1024,55.35,59.23                                                                                                                                              
2048,57.05,62.42                                                                                                                                              
4096,58.54,64.17     

sigma,615
1,22.1,22.1                                                                                                                                                   
2,19.75,22.08                                                                                                                                                 
4,28.13,26.19                                                                                                                                                 
8,25.91,26.24                                                                                                                                                 
16,32.86,35.59                                                                                                                                                
32,34.64,36.74                                                                                                                                                
64,37.69,44.09                                                                                                                                                
128,44.52,44.99                                                                                                                                               
256,44.93,49.11                                                                                                                                               
512,45.87,53.81                                                                                                                                               
1024,52.48,54.74                                                                                                                                              
2048,52.28,62.19                                                                                                                                              
4096,58.66,68.03  
                                                                                                                                            
sigma,625
1,20.62,20.62                                                                                                                                                 
2,21.71,25.36                                                                                                                                                 
4,23.36,26.33                                                                                                                                                 
8,25.98,25.56                                                                                                                                                 
16,30.09,32.86                                                                                                                                                
32,31.76,38.15                                                                                                                                                
64,32.76,41.63                                                                                                                                                
128,41.31,44.06                                                                                                                                               
256,48.99,51.86                                                                                                                                               
512,47.05,48.12                                                                                                                                               
1024,50.08,53.56                                                                                                                                              
2048,56.47,60.09                                                                                                                                              
4096,63.94,65.42      

sigma,650
1,24.91,24.91                                                                                                                                                 
2,20.68,21.5                                                                                                                                                  
4,27.01,26.39                                                                                                                                                 
8,23.9,30.14                                                                                                                                                  
16,31.89,32.49                                                                                                                                                
32,38.78,39.48                                                                                                                                                
64,39.63,40.69                                                                                                                                                
128,40.56,39.89                                                                                                                                               
256,40.78,47.52                                                                                                                                               
512,50.19,49.24                                                                                                                                               
1024,51.33,51.84                                                                                                                                              
2048,51.79,61.91                                                                                                                                              
4096,62.78,65.02    

sigma,675
1,18.23,18.23                                                                                                                                                 
2,20.86,22.8                                                                                                                                                  
4,17.76,19.89                                                                                                                                                 
8,29.45,32.73                                                                                                                                                 
16,28.19,32.8                                                                                                                                                 
32,34.18,34.6                                                                                                                                                 
64,36.11,39.75                                                                                                                                                
128,43.19,48.89                                                                                                                                               
256,44.33,50.49                                                                                                                                               
512,52.04,53.23                                                                                                                                               
1024,50.63,56.93                                                                                                                                              
2048,58.22,64.56                                                                                                                                              
4096,60.12,64.17 

sigma,700
1,21.84,21.84                                                                                                                                                 
2,24.91,23.04                                                                                                                                                 
4,23.48,24.3                                                                                                                                                  
8,24.72,30.4                                                                                                                                                  
16,26.44,27.3                                                                                                                                                 
32,30.63,36.4                                                                                                                                                 
64,32.65,36.9                                                                                                                                                 
128,42.94,47.1                                                                                                                                                
256,42.19,46.67                                                                                                                                               
512,50.08,50.97                                                                                                                                               
1024,50.66,50.39                                                                                                                                              
2048,59.52,58.36                                                                                                                                              
4096,62.43,67.86

sigma,725
1,22.6,22.6                                                                                                                                                   
2,20.92,21.02                                                                                                                                                 
4,31.6,30.48                                                                                                                                                  
8,20.61,33.24                                                                                                                                                 
16,28.0,28.47                                                                                                                                                 
32,35.15,38.47                                                                                                                                                
64,35.04,40.7                                                                                                                                                 
128,43.26,46.06                                                                                                                                               
256,45.5,51.41                                                                                                                                                
512,49.21,52.62                                                                                                                                               
1024,48.62,57.95                                                                                                                                              
2048,57.51,62.03                                                                                                                                              
4096,60.78,67.29 

sigma,750
1,19.46,19.46                                                                                                                                                 
2,23.52,23.15                                                                                                                                                 
4,21.53,24.34                                                                                                                                                 
8,26.24,29.14                                                                                                                                                 
16,26.88,31.32                                                                                                                                                
32,39.61,36.63                                                                                                                                                
64,39.43,42.51                                                                                                                                                
128,41.11,49.03                                                                                                                                               
256,44.96,49.63                                                                                                                                               
512,45.9,53.1                                                                                                                                                 
1024,51.82,57.79                                                                                                                                              
2048,57.06,59.52                                                                                                                                              
4096,63.1,63.46    

sigma,775
1,22.92,22.92                                                                                                                                                 
2,24.89,23.72                                                                                                                                                 
4,25.02,27.03                                                                                                                                                 
8,25.09,25.41                                                                                                                                                 
16,29.42,35.81                                                                                                                                                
32,38.53,41.04                                                                                                                                                
64,39.03,41.48                                                                                                                                                
128,41.34,47.26                                                                                                                                               
256,45.25,45.22                                                                                                                                               
512,51.81,54.96                                                                                                                                               
1024,49.41,52.73                                                                                                                                              
2048,58.51,63.23                                                                                                                                              
4096,60.02,66.72  

sigma,800
1,25.33,25.33                                                                                                                                                 
2,19.73,23.37                                                                                                                                                 
4,25.44,29.34                                                                                                                                                 
8,29.95,34.06                                                                                                                                                 
16,35.07,37.2                                                                                                                                                 
32,37.11,40.28                                                                                                                                                
64,37.67,41.27                                                                                                                                                
128,42.2,47.72                                                                                                                                                
256,46.59,49.94                                                                                                                                               
512,45.45,48.36                                                                                                                                               
1024,51.88,54.41                                                                                                                                              
2048,54.14,64.67                                                                                                                                              
4096,59.99,64.24
