sigma,500
1,11.34,11.34                                                                                                                                       
2,12.3,14.67                                                                                                                                        
4,19.06,21.68                                                                                                                                       
8,20.53,18.47                                                                                                                                       
16,24.07,26.62                                                                                                                                      
32,19.48,21.83                                                                                                                                      
64,29.47,30.59                                                                                                                                      
128,31.09,34.08                                                                                                                                     
256,37.83,40.1                                                                                                                                      
512,35.45,40.76                                                                                                                                     
1024,40.59,48.79                                                                                                                                    
2048,49.24,52.3                                                                                                                                     
4096,58.17,63.82                                                                                                                                    

sigma,600
1,19.05,19.05                                                                                                                                       
2,18.88,21.88                                                                                                                                       
4,19.06,21.58                                                                                                                                       
8,22.93,22.45                                                                                                                                       
16,18.27,22.42                                                                                                                                      
32,27.53,32.23                                                                                                                                      
64,29.3,28.65                                                                                                                                       
128,32.0,34.98                                                                                                                                      
256,35.11,40.64                                                                                                                                     
512,43.1,43.71                                                                                                                                      
1024,39.36,43.25                                                                                                                                    
2048,45.92,56.1                                                                                                                                     
4096,55.61,56.32                                                                                                                                    

sigma,615
1,14.68,14.68                                                                                                                                       
2,17.35,19.99                                                                                                                                       
4,18.23,19.69                                                                                                                                       
8,18.22,19.54                                                                                                                                       
16,20.72,22.25                                                                                                                                      
32,24.15,27.19                                                                                                                                      
64,27.53,34.95                                                                                                                                      
128,35.19,33.71                                                                                                                                     
256,35.1,34.97                                                                                                                                      
512,39.95,45.3                                                                                                                                      
1024,46.87,48.31                                                                                                                                    
2048,50.96,54.39                                                                                                                                    
4096,51.58,60.02                                                                                                                                    

sigma,625
1,14.63,14.63                                                                                                                                       
2,13.63,18.39                                                                                                                                       
4,20.62,23.95                                                                                                                                       
8,20.97,23.06                                                                                                                                       
16,24.43,28.9                                                                                                                                       
32,24.53,26.91                                                                                                                                      
64,23.83,30.85                                                                                                                                      
128,29.25,33.28                                                                                                                                     
256,33.0,35.34                                                                                                                                      
512,36.61,39.57                                                                                                                                     
1024,42.81,50.12                                                                                                                                    
2048,46.02,57.07                                                                                                                                    
4096,60.07,63.75                                                                                                                                    

sigma,650
1,16.36,16.36                                                                                                                                       
2,15.6,17.79                                                                                                                                        
4,18.08,22.79                                                                                                                                       
8,22.46,22.99                                                                                                                                       
16,24.05,27.45                                                                                                                                      
32,30.69,32.21                                                                                                                                      
64,26.27,27.01                                                                                                                                      
128,29.24,33.94                                                                                                                                     
256,40.02,45.02                                                                                                                                     
512,42.37,45.12                                                                                                                                     
1024,39.38,44.26                                                                                                                                    
2048,47.44,53.4                                                                                                                                     
4096,49.27,58.83                                                                                                                                    

sigma,675
1,17.39,17.39                                                                                                                                       
2,21.62,19.73                                                                                                                                       
4,16.14,19.58                                                                                                                                       
8,21.99,23.19                                                                                                                                       
16,25.83,29.75                                                                                                                                      
32,21.85,21.73                                                                                                                                      
64,35.29,38.18                                                                                                                                      
