1,20.44,22.27
2,20.31,37.34
4,29.2,39.24
8,32.57,42.92
16,36.11,45.04
32,35.94,44.25
64,40.85,46.36
128,47.15,48.36
256,46.28,49.15
512,50.83,53.07
1024,55.91,54.09
2048,60.2,61.49
4096,65.73,66.61
1,23.46,28.22
2,22.87,37.72
4,22.74,39.71
8,28.92,39.19
16,34.92,43.81
32,38.85,49.56
64,43.13,49.56
128,43.49,47.17
256,46.9,51.02
512,51.06,51.66
1024,56.88,57.17
2048,59.63,58.7
4096,64.21,67.36
1,19.42,29.13
2,24.72,37.48
4,24.96,40.0
8,32.97,41.33
16,34.3,45.47
32,38.5,44.87
64,41.03,46.42
128,43.64,46.73
256,45.14,46.57
512,50.92,51.68
1024,55.44,54.06
2048,61.91,60.38
4096,63.88,65.25
1,19.92,22.13
2,24.77,37.41
4,21.85,37.03
8,31.79,45.15
16,34.22,46.03
32,38.74,48.31
64,46.52,50.91
128,46.06,49.89
256,47.39,50.75
512,49.42,54.12
1024,55.61,57.1
2048,63.86,62.46
4096,68.64,69.73
1,22.02,24.51
2,25.72,37.6
4,28.73,44.12
8,27.43,42.59
16,31.94,45.57
32,40.12,49.42
64,41.45,50.19
128,49.84,49.59
256,48.15,49.01
512,54.58,53.68
1024,58.6,56.07
2048,57.16,61.03
4096,68.16,69.79
1,17.02,21.27
2,23.16,33.68
4,26.87,41.34
8,33.89,48.42
16,40.18,48.88
32,37.25,46.4
64,38.83,47.15
128,47.49,50.07
256,48.63,52.33
512,52.98,51.97
1024,56.85,57.36
2048,60.08,61.67
4096,64.77,68.22
1,19.47,21.67
2,24.3,33.72
4,27.53,42.93
8,32.9,44.93
16,41.38,48.65
32,43.06,46.09
64,41.48,47.86
128,43.46,49.91
256,45.86,41.79
512,53.36,53.85
1024,56.93,54.42
2048,65.18,61.5
4096,65.64,67.97
1,21.45,27.44
2,28.67,39.45
4,24.85,37.23
8,29.52,41.74
16,31.91,46.28
32,39.59,48.01
64,42.37,49.13
128,44.12,50.82
256,49.93,52.96
512,54.73,53.03
1024,51.78,56.75
2048,61.31,61.43
4096,68.75,65.76
1,17.4,31.57
2,19.0,31.31
4,33.63,42.23
8,33.03,44.27
16,34.41,45.58
32,39.25,47.88
64,43.88,46.47
128,43.05,52.01
256,46.75,49.65
512,53.73,55.89
1024,60.23,57.36
2048,61.89,63.18
4096,67.06,67.4
1,15.72,31.12
2,22.98,35.6
4,27.17,44.77
8,33.07,46.33
16,32.67,44.68
32,41.65,47.28
64,42.66,49.16
128,43.64,48.47
256,46.15,50.35
512,52.37,56.03
1024,58.41,57.46
2048,62.48,60.04
4096,67.19,69.86
