1,20.77,23.91
2,22.89,39.01
4,35.54,50.42
8,39.35,52.79
16,46.48,55.02
32,51.55,57.68
64,54.47,59.22
128,54.89,59.06
256,56.34,58.85
512,59.25,60.88
1024,62.78,65.5
2048,69.78,69.11
4096,75.8,75.36
1,20.31,21.41
2,35.09,51.32
4,34.15,44.94
8,45.04,53.64
16,48.9,53.73
32,48.05,53.54
64,53.69,56.81
128,53.13,57.87
256,54.6,58.41
512,60.92,63.21
1024,67.38,68.1
2048,70.75,69.81
4096,75.27,75.78
1,17.36,24.44
2,29.67,42.54
4,35.26,48.04
8,41.57,54.09
16,41.11,53.69
32,49.92,55.72
64,53.48,55.5
128,56.41,56.12
256,57.07,58.78
512,58.71,61.66
1024,63.43,65.22
2048,66.89,69.46
4096,75.03,74.84
1,20.65,18.99
2,21.07,40.37
4,39.15,54.31
8,42.91,52.6
16,44.9,53.45
32,47.39,53.34
64,52.99,58.31
128,54.88,57.69
256,56.8,57.64
512,61.04,60.26
1024,64.65,65.62
2048,71.88,71.0
4096,75.28,75.6
1,21.34,14.47
2,31.8,49.35
4,31.5,49.28
8,46.88,52.68
16,45.56,55.78
32,48.87,53.87
64,53.22,56.2
128,53.45,56.24
256,58.08,58.52
512,56.48,58.99
1024,63.4,65.34
2048,70.92,71.62
4096,74.86,75.59
