1,9.85,10.99
2,15.2,21.55
4,17.4,27.47
8,22.89,28.56
16,25.99,31.92
32,26.53,31.84
64,31.22,35.61
128,36.39,37.11
256,42.71,38.62
512,44.44,41.22
1024,48.02,47.12
2048,52.56,53.52
4096,59.55,63.66
1,18.53,14.34
2,15.93,25.34
4,14.55,20.15
8,20.25,32.25
16,32.33,38.02
32,29.22,33.44
64,29.3,38.44
128,34.84,35.78
256,41.89,39.77
512,45.69,40.34
1024,49.28,45.98
2048,58.18,50.89
4096,56.33,61.34
1,14.49,20.65
2,18.37,28.6
4,22.97,30.78
8,25.73,32.94
16,25.53,30.07
32,26.53,34.97
64,33.59,38.27
128,35.79,37.76
256,41.99,38.02
512,44.18,37.25
1024,44.63,43.48
2048,51.06,51.83
4096,63.55,62.18
1,16.75,21.2
2,19.27,22.31
4,22.41,23.0
8,19.37,30.65
16,20.47,28.29
32,29.75,33.56
64,27.83,32.53
128,34.14,32.84
256,38.53,38.21
512,41.63,41.99
1024,45.59,44.31
2048,56.13,52.28
4096,61.54,63.05
1,15.67,21.92
2,22.62,21.72
4,19.94,26.0
8,18.32,28.09
16,22.63,32.37
32,27.55,33.9
64,27.28,35.58
128,36.62,35.74
256,39.11,40.54
512,44.42,41.95
1024,49.61,43.46
2048,49.43,48.62
4096,60.06,64.42
