1,18.67,26.91
2,25.75,32.39
4,26.54,36.7
8,32.49,36.71
16,39.03,45.11
32,42.14,39.57
64,44.11,44.42
128,38.4,34.06
256,48.39,45.5
512,43.99,41.4
1024,49.96,51.33
2048,63.54,61.47
4096,67.86,68.65
1,14.67,21.41
2,18.58,35.49
4,27.42,34.38
8,34.23,46.7
16,27.27,40.08
32,38.74,32.15
64,47.21,47.69
128,44.39,43.89
256,48.21,41.76
512,44.22,41.03
1024,51.4,48.57
2048,59.65,58.45
4096,68.03,66.86
1,19.31,29.36
2,18.89,31.8
4,30.43,34.8
8,31.54,43.07
16,37.79,39.89
32,44.65,45.58
64,46.89,45.79
128,47.34,45.03
256,43.45,42.63
512,45.78,41.0
1024,46.43,42.83
2048,59.54,59.9
4096,65.9,67.32
1,21.0,27.92
2,25.57,39.53
4,29.97,29.01
8,34.25,40.27
16,30.78,39.09
32,37.13,36.03
64,46.21,47.66
128,46.69,40.8
256,49.81,46.08
512,49.19,46.95
1024,52.15,50.99
2048,60.9,59.86
4096,69.03,67.16
1,15.92,19.32
2,28.73,30.35
4,26.91,37.17
8,29.21,36.46
16,37.66,42.05
32,40.6,43.65
64,42.65,44.01
128,50.73,47.69
256,46.67,45.56
512,57.77,55.37
1024,54.88,51.41
2048,57.86,57.35
4096,66.02,68.51
