1,21.34,27.69
2,21.06,37.45
4,25.83,38.57
8,24.61,43.38
16,36.15,45.61
32,40.71,44.88
64,38.52,48.28
128,43.68,45.83
256,48.13,49.77
512,51.09,51.63
1024,53.02,56.14
2048,59.03,58.41
4096,67.3,66.06
1,17.25,38.05
2,22.24,36.71
4,27.68,38.71
8,25.66,37.91
16,30.82,42.82
32,39.38,46.52
64,41.29,47.68
128,43.33,49.05
256,47.13,50.69
512,51.95,51.36
1024,58.55,53.8
2048,58.16,60.46
4096,68.76,67.79
1,20.21,32.32
2,22.04,38.08
4,15.96,31.63
8,32.04,43.46
16,31.52,42.95
32,40.39,45.72
64,37.65,44.99
128,42.02,47.6
256,46.22,48.27
512,49.56,53.02
1024,55.36,55.35
2048,60.85,58.71
4096,65.51,68.75
1,21.56,33.0
2,23.26,34.34
4,30.53,42.68
8,36.18,47.91
16,39.26,45.45
32,40.4,47.05
64,44.78,51.21
128,46.13,50.97
256,46.23,51.81
512,50.13,54.7
1024,58.72,56.02
2048,63.81,61.45
4096,67.19,68.81
1,25.68,37.34
2,23.41,38.06
4,27.6,41.01
8,30.0,45.61
16,35.55,43.57
32,35.71,48.86
64,44.58,47.94
128,44.45,50.81
256,50.42,51.17
512,54.14,54.02
1024,57.04,55.32
2048,60.39,62.03
4096,67.27,66.46
