1,26.3,38.4
2,35.7,47.91
4,28.33,47.61
8,41.78,50.31
16,43.89,52.54
32,46.0,52.76
64,54.31,55.37
128,55.86,61.23
256,55.56,59.22
512,58.22,61.0
1024,67.72,66.79
2048,67.76,69.39
4096,74.81,75.02
1,20.96,27.62
2,29.34,49.25
4,35.9,54.45
8,42.59,50.76
16,45.08,53.43
32,49.14,54.12
64,51.62,55.27
128,54.66,55.96
256,52.7,57.13
512,60.65,61.03
1024,61.74,61.7
2048,70.99,70.72
4096,74.45,75.0
1,29.92,46.33
2,27.21,41.71
4,38.47,50.86
8,44.45,55.74
16,47.02,55.18
32,45.63,53.88
64,51.1,56.09
128,56.63,58.64
256,58.39,59.95
512,58.34,60.74
1024,63.01,62.65
2048,70.35,69.84
4096,75.02,75.42
1,22.9,36.05
2,32.52,51.58
4,35.61,53.18
8,39.9,55.84
16,45.16,53.41
32,49.04,52.5
64,49.56,56.76
128,56.53,60.49
256,57.14,58.01
512,61.13,62.92
1024,60.63,64.86
2048,70.67,70.6
4096,75.09,75.62
1,17.68,15.41
2,32.6,43.63
4,31.66,43.67
8,47.11,53.27
16,47.6,55.08
32,49.32,54.28
64,51.48,56.71
128,50.81,56.77
256,60.04,58.87
512,61.41,62.55
1024,63.52,66.3
2048,69.48,70.58
4096,74.41,76.4
