1,14.49,25.06
2,17.26,33.35
4,16.43,27.1
8,21.71,30.04
16,26.06,32.06
32,23.86,33.65
64,34.15,34.16
128,35.73,35.4
256,38.7,39.91
512,44.28,43.17
1024,49.87,45.77
2048,56.47,55.51
4096,62.72,61.28
1,14.52,23.09
2,14.4,29.46
4,21.63,28.84
8,24.14,34.79
16,26.77,31.21
32,30.25,33.09
64,33.79,35.98
128,36.13,37.85
256,43.15,38.17
512,46.46,42.6
1024,49.4,46.48
2048,58.75,52.52
4096,55.43,62.44
1,17.66,21.3
2,19.67,27.21
4,23.12,24.53
8,25.33,32.5
16,25.22,32.52
32,26.14,33.86
64,30.76,33.45
128,37.25,35.64
256,41.07,36.77
512,46.5,40.38
1024,48.62,48.63
2048,54.84,54.04
4096,60.54,63.78
1,15.81,19.42
2,13.59,25.06
4,16.28,28.93
8,23.15,28.43
16,25.08,34.95
32,29.74,34.2
64,30.09,36.57
128,34.46,40.65
256,41.21,39.43
512,43.77,39.26
1024,48.84,44.11
2048,51.11,51.27
4096,59.28,61.43
1,12.14,23.59
2,14.23,25.88
4,17.47,27.36
8,24.09,30.1
16,26.75,29.52
32,26.85,35.09
64,31.74,32.3
128,36.16,37.52
256,42.39,40.18
512,43.39,43.61
1024,45.81,41.2
2048,51.76,54.53
4096,60.38,60.7
