1,17.73,23.84
2,23.06,26.16
4,29.18,29.13
8,31.93,34.92
16,37.41,40.64
32,40.75,46.26
64,41.35,47.42
128,44.89,46.98
256,45.55,48.88
512,51.23,54.29
1024,58.25,55.57
2048,60.96,62.34
4096,67.24,67.07
1,19.71,27.86
2,23.32,25.18
4,28.26,28.61
8,33.71,35.83
16,36.88,42.29
32,43.57,47.04
64,41.73,46.08
128,45.26,45.65
256,46.51,49.87
512,50.68,52.8
1024,56.22,56.47
2048,61.82,62.03
4096,65.24,66.7
1,16.23,22.37
2,23.1,26.24
4,29.1,27.78
8,34.12,36.98
16,35.46,41.25
32,42.58,48.72
64,40.24,45.23
128,46.53,49.59
256,46.64,49.0
512,48.97,52.69
1024,53.36,53.53
2048,62.99,63.77
4096,66.06,68.83
1,20.3,22.96
2,24.36,26.38
4,28.29,28.07
8,31.13,32.51
16,37.92,40.31
32,41.71,44.33
64,41.2,44.29
128,46.23,48.66
256,45.85,49.44
512,51.48,54.07
1024,57.0,58.5
2048,64.43,63.31
4096,66.36,66.45
1,16.63,28.06
2,22.76,23.85
4,28.88,28.66
8,32.11,36.08
16,37.39,39.37
32,41.03,45.49
64,42.0,45.98
128,44.99,48.98
256,45.38,52.53
512,51.61,54.34
1024,56.73,58.73
2048,62.6,64.15
4096,65.72,69.21
