1,36.99,22.93
2,36.18,35.31
4,40.96,42.46
8,46.79,46.02
16,48.05,52.48
32,55.07,54.59
64,52.55,56.95
128,53.54,56.06
256,57.88,61.57
512,65.93,63.89
1024,64.18,64.87
2048,71.14,74.38
4096,74.11,74.87
1,35.94,28.54
2,34.98,39.66
4,41.14,39.56
8,47.11,47.5
16,47.79,45.08
32,52.61,57.74
64,51.24,57.4
128,52.44,52.74
256,57.69,62.06
512,58.21,58.2
1024,65.39,67.85
2048,70.21,72.39
4096,73.74,76.56
1,37.39,22.48
2,35.38,38.74
4,40.33,40.97
8,48.73,47.77
16,48.38,49.04
32,53.11,51.85
64,51.82,54.55
128,54.79,56.57
256,58.19,57.23
512,62.86,62.51
1024,70.06,67.71
2048,70.4,71.79
4096,73.99,75.19
1,36.52,23.98
2,35.85,34.64
4,40.5,39.13
8,46.08,45.31
16,46.82,51.78
32,54.7,55.78
64,53.51,57.36
128,53.42,53.09
256,54.21,58.79
512,60.36,58.59
1024,62.78,66.93
2048,71.6,71.74
4096,75.2,72.2
1,36.0,21.13
2,36.02,32.89
4,40.7,44.56
8,45.0,46.5
16,48.91,50.13
32,54.86,56.59
64,52.54,54.39
128,51.76,53.82
256,60.4,63.42
512,60.77,59.71
1024,65.9,67.47
2048,70.84,73.62
4096,76.13,75.04
