1,25.86,24.64
2,35.38,35.89
4,39.6,41.05
8,42.27,46.84
16,48.08,51.62
32,44.51,49.74
64,52.89,56.59
128,55.55,58.23
256,56.98,59.65
512,60.36,63.19
1024,65.74,66.56
2048,70.0,70.08
4096,74.25,75.62
1,23.29,29.93
2,31.52,31.6
4,30.33,38.82
8,42.41,47.24
16,42.65,45.96
32,41.85,45.27
64,49.72,54.07
128,54.48,57.4
256,54.85,59.59
512,57.61,61.53
1024,64.18,64.3
2048,69.16,70.9
4096,75.03,74.32
1,30.63,29.21
2,31.51,36.72
4,35.28,42.75
8,45.87,50.29
16,47.84,50.11
32,51.93,54.5
64,52.34,55.78
128,56.68,58.4
256,56.31,59.09
512,60.27,62.64
1024,62.75,63.81
2048,71.0,72.73
4096,74.78,75.46
1,18.33,23.24
2,27.63,33.36
4,36.81,43.15
8,42.65,46.87
16,47.43,50.97
32,51.03,55.65
64,47.49,53.56
128,53.76,53.32
256,54.88,60.35
512,57.02,60.14
1024,62.45,65.22
2048,68.77,68.38
4096,74.02,75.04
1,23.83,27.49
2,29.23,33.99
4,39.73,44.9
8,45.7,52.24
16,51.07,55.25
32,47.23,52.91
64,52.75,56.39
128,56.84,57.45
256,58.25,62.3
512,58.43,61.4
1024,63.19,65.82
2048,70.46,72.1
4096,75.5,75.53
