1,17.45,17.2
2,18.28,19.15
4,33.12,32.35
8,28.69,24.64
16,38.34,41.01
32,34.33,40.32
64,41.68,40.07
128,44.57,41.28
256,50.59,45.26
512,44.22,42.58
1024,55.34,52.77
2048,62.41,62.96
4096,66.67,67.96
1,19.51,24.21
2,26.93,24.83
4,28.79,27.69
8,31.75,35.28
16,39.7,40.3
32,35.62,42.18
64,41.51,40.26
128,44.53,43.66
256,38.14,33.73
512,48.27,45.39
1024,47.63,48.59
2048,63.41,59.39
4096,66.97,69.54
1,12.35,19.18
2,28.52,27.66
4,29.09,27.48
8,34.11,38.24
16,31.66,31.39
32,37.57,33.58
64,37.91,42.99
128,45.49,40.5
256,49.88,48.91
512,44.54,44.59
1024,50.55,51.72
2048,60.95,60.2
4096,69.52,67.28
1,15.43,17.11
2,25.97,27.93
4,30.17,34.5
8,27.73,25.86
16,27.88,29.27
32,41.3,40.82
64,43.15,40.57
128,45.15,41.99
256,46.42,48.16
512,50.01,51.92
1024,50.94,48.24
2048,61.99,58.22
4096,67.35,68.55
1,16.69,15.16
2,13.94,19.64
4,28.8,30.05
8,29.76,29.67
16,42.41,41.42
32,43.81,39.7
64,44.77,44.98
128,41.86,40.5
256,48.31,49.01
512,46.79,45.53
1024,53.01,54.96
2048,64.74,63.84
4096,67.87,66.66
