1,18.09,22.4
2,26.19,24.83
4,26.58,30.54
8,29.9,30.0
16,32.13,39.39
32,35.77,43.14
64,44.8,46.7
128,45.99,47.47
256,47.51,48.4
512,55.12,53.67
1024,52.48,54.29
2048,59.42,58.85
4096,67.88,67.83
1,19.64,24.17
2,22.77,25.19
4,29.59,31.29
8,27.82,32.92
16,41.81,45.93
32,39.17,43.03
64,44.67,45.5
128,43.91,47.82
256,42.53,49.86
512,50.83,54.84
1024,56.6,54.79
2048,58.19,61.87
4096,65.13,67.27
1,21.51,21.93
2,22.28,26.21
4,30.66,30.47
8,32.73,33.96
16,35.81,38.94
32,41.2,43.28
64,41.37,41.89
128,47.7,47.8
256,50.57,48.85
512,50.17,50.96
1024,53.55,56.0
2048,60.32,59.9
4096,64.76,68.93
1,21.04,20.03
2,26.99,26.18
4,24.19,28.58
8,28.43,32.88
16,34.88,40.81
32,40.07,43.94
64,43.09,49.13
128,46.69,49.84
256,47.71,51.75
512,54.08,55.78
1024,58.5,57.49
2048,61.0,63.28
4096,68.53,68.29
1,16.55,14.9
2,31.31,29.9
4,27.22,28.67
8,28.22,35.44
16,36.73,43.74
32,39.9,46.21
64,44.0,46.86
128,48.48,50.82
256,49.99,52.86
512,52.41,52.57
1024,56.49,57.55
2048,62.69,63.65
4096,65.09,67.57
