1,29.71,31.8
2,36.08,35.05
4,37.34,40.72
8,39.62,41.9
16,47.42,46.31
32,45.81,52.75
64,53.47,57.3
128,55.8,56.63
256,58.56,61.4
512,60.91,62.27
1024,66.52,66.21
2048,70.82,70.86
4096,74.59,75.4
1,25.56,23.33
2,32.81,29.15
4,41.63,40.3
8,44.46,46.65
16,51.67,51.23
32,49.5,52.48
64,52.36,52.7
128,50.89,53.32
256,60.15,60.38
512,60.39,60.51
1024,63.9,65.55
2048,70.09,70.66
4096,74.95,75.34
1,32.26,29.61
2,32.0,31.73
4,37.31,37.24
8,43.13,44.2
16,48.56,49.79
32,47.13,49.35
64,51.05,50.85
128,54.18,59.52
256,57.62,60.09
512,59.04,61.91
1024,61.45,65.84
2048,69.3,72.04
4096,74.28,75.12
1,24.18,23.32
2,29.33,32.02
4,36.13,34.13
8,41.03,44.21
16,44.73,47.49
32,50.29,47.88
64,54.47,56.0
128,54.13,56.58
256,57.33,60.5
512,58.55,61.45
1024,65.74,66.13
2048,70.58,70.97
4096,73.85,75.1
1,27.37,24.72
2,25.41,25.59
4,39.28,47.11
8,35.37,38.73
16,47.23,49.04
32,50.84,52.31
64,49.92,53.53
128,55.15,57.78
256,55.85,58.83
512,59.37,63.36
1024,64.89,68.51
2048,71.89,72.44
4096,74.0,75.88
