1,18.13,17.79
2,18.04,17.65
4,14.84,18.67
8,19.64,19.59
16,33.06,33.53
32,28.91,31.13
64,33.07,35.51
128,32.21,32.67
256,41.6,41.2
512,40.3,40.63
1024,42.18,43.22
2048,55.96,56.25
4096,62.89,65.54
1,18.41,18.02
2,18.7,19.36
4,21.13,18.79
8,18.94,20.26
16,23.03,29.51
32,27.08,30.85
64,31.56,33.54
128,35.86,34.7
256,42.64,41.15
512,43.02,41.65
1024,48.33,49.04
2048,47.29,50.91
4096,65.52,63.04
1,14.6,18.87
2,19.91,20.53
4,22.99,19.86
8,20.22,20.59
16,21.73,21.48
32,24.4,26.56
64,32.79,35.57
128,38.08,36.77
256,35.96,35.96
512,40.7,42.24
1024,47.06,45.85
2048,55.18,54.0
4096,59.68,60.78
1,13.25,15.15
2,18.2,17.79
4,22.6,20.71
8,20.99,23.72
16,23.15,21.97
32,31.82,32.96
64,31.03,34.67
128,36.43,37.18
256,40.15,38.9
512,42.07,39.52
1024,48.4,45.87
2048,55.92,52.0
4096,62.19,63.55
1,12.42,15.2
2,20.54,20.8
4,23.73,23.05
8,24.11,25.5
16,24.79,26.28
32,32.25,34.98
64,33.44,34.15
128,35.81,36.44
256,40.79,38.3
512,41.34,36.67
1024,49.34,49.28
2048,53.09,54.25
4096,64.48,63.41
