1,15.35,17.66
2,14.6,21.97
4,29.14,34.96
8,35.59,34.8
16,34.08,37.91
32,44.4,38.13
64,39.49,41.97
128,46.21,40.01
256,47.83,47.39
512,49.38,43.6
1024,47.92,49.76
2048,60.07,59.99
4096,67.87,66.52
1,16.86,19.48
2,22.39,29.39
4,30.66,28.28
8,34.52,34.16
16,34.22,35.78
32,42.05,42.12
64,39.84,39.46
128,41.26,38.34
256,47.57,43.02
512,51.54,51.18
1024,52.78,48.47
2048,65.26,63.46
4096,67.26,68.13
1,12.37,15.91
2,27.96,27.32
4,28.52,21.67
8,30.29,32.95
16,34.71,34.66
32,37.61,39.96
64,43.44,43.35
128,46.29,48.45
256,53.87,48.12
512,48.19,42.65
1024,52.76,48.75
2048,66.77,63.4
4096,69.46,68.26
1,10.88,15.24
2,22.19,22.87
4,29.9,33.64
8,31.05,33.82
16,35.68,32.02
32,35.66,34.29
64,39.4,39.73
128,38.18,40.2
256,53.45,50.73
512,47.74,43.63
1024,53.79,52.58
2048,62.7,59.33
4096,67.91,64.28
1,24.4,22.19
2,19.78,22.38
4,31.33,26.8
8,33.68,33.07
16,26.06,28.96
32,40.2,32.34
64,37.49,32.11
128,43.73,39.37
256,42.38,44.32
512,47.25,48.74
1024,59.5,57.43
2048,58.74,61.11
4096,66.42,67.33
